UDI,Machine failure,Process temperature [K],Rotational speed [rpm],Tool wear [min]
109,0.0,308.8,1621,75
110,0.0,308.7,1572,80
111,0.0,308.6,1872,82
112,0.0,308.6,1499,84
113,0.0,308.7,1498,89
114,0.0,308.6,1486,92
115,0.0,308.6,1680,95
116,0.0,308.6,1431,97
117,0.0,308.7,1564,99
118,0.0,308.6,1599,101
119,0.0,308.6,1707,103
120,0.0,308.5,1467,106
121,0.0,308.7,1433,108
122,0.0,308.7,1558,110
123,0.0,308.8,1310,112
124,0.0,308.7,1546,114
125,0.0,308.7,1727,116
126,0.0,308.6,1560,118
127,0.0,308.6,1329,120
128,0.0,308.6,1413,122
129,0.0,308.6,1587,124
130,0.0,308.5,1559,126
131,0.0,308.4,1473,128
132,0.0,308.4,1737,130
133,0.0,308.4,1441,132
134,0.0,308.4,1430,135
135,0.0,308.4,1369,138
136,0.0,308.5,1711,140
137,0.0,308.5,1420,143
138,0.0,308.6,1297,148
139,0.0,308.6,1449,150
140,0.0,308.6,1268,155
141,0.0,308.6,1511,157
142,0.0,308.5,1544,159
143,0.0,308.4,1778,161
144,0.0,308.4,1407,164
145,0.0,308.4,1391,169
146,0.0,308.4,1513,172
147,0.0,308.4,1612,174
148,0.0,308.4,1515,179
149,0.0,308.3,1379,181
150,0.0,308.3,1473,184
151,0.0,308.3,1422,186
152,0.0,308.2,1463,188
153,0.0,308.2,1584,191
154,0.0,308.2,1850,194
155,0.0,308.2,1528,196
156,0.0,308.2,1987,198
157,0.0,308.1,1495,203
158,0.0,308.2,1478,206
159,0.0,308.2,1499,211
160,0.0,308.2,1471,214
161,1.0,308.2,1282,216
162,1.0,308.1,1412,218
163,0.0,308.1,1586,0
164,0.0,308.2,1468,2
165,0.0,308.3,1440,5
166,0.0,308.4,1733,8
167,0.0,308.2,1612,10
168,0.0,308.3,1458,15
169,1.0,308.3,1433,20
170,0.0,308.3,1318,22
171,0.0,308.2,1610,24
172,0.0,308.1,1462,27
173,0.0,308.0,1924,29
174,0.0,308.0,1591,32
175,0.0,308.1,1306,35
176,0.0,308.1,1382,37
177,0.0,308.1,1618,39
178,0.0,308.2,1988,41
179,0.0,308.2,1436,43
180,0.0,308.3,1304,45
181,0.0,308.3,1475,47
182,0.0,308.3,1824,49
183,0.0,308.2,1342,54
184,0.0,308.2,1485,57
185,0.0,308.2,1667,59
186,0.0,308.2,1446,61
187,0.0,308.3,1301,63
188,0.0,308.4,1379,65
189,0.0,308.5,1606,67
190,0.0,308.4,1539,69
191,0.0,308.4,1477,72
192,0.0,308.4,1666,74
193,0.0,308.4,1398,76
194,0.0,308.4,1678,81
195,1.0,308.5,2678,86
196,0.0,308.5,1453,89
197,0.0,308.6,1432,91
198,0.0,308.6,1527,96
199,0.0,308.7,1588,99
200,0.0,308.6,1433,101
201,0.0,308.6,1609,103
202,0.0,308.5,1575,105
203,0.0,308.5,1636,107
204,0.0,308.5,1490,110
205,0.0,308.5,1741,112
206,0.0,308.6,1344,114
207,0.0,308.7,1609,117
208,1.0,308.7,1421,119
209,0.0,308.6,1591,122
210,0.0,308.6,1477,124
211,0.0,308.7,1523,126
212,0.0,308.7,1575,128
213,0.0,308.7,1344,130
214,0.0,308.7,1386,135
215,0.0,308.6,1589,137
216,0.0,308.6,1548,140
217,0.0,308.6,1499,142
218,0.0,308.5,1664,144
219,0.0,308.6,1447,146
220,0.0,308.5,1434,148
221,0.0,308.5,1416,151
222,0.0,308.5,1827,153
223,0.0,308.6,1304,158
224,0.0,308.6,1569,160
225,0.0,308.6,1584,162
226,0.0,308.5,1362,164
227,0.0,308.4,1329,166
228,0.0,308.5,1539,168
229,0.0,308.5,1629,170
230,0.0,308.5,1538,173
231,0.0,308.6,1570,175
232,0.0,308.4,1408,177
233,0.0,308.4,1424,179
234,0.0,308.4,1512,181
235,0.0,308.4,1478,183
236,0.0,308.3,1680,185
237,0.0,308.3,1495,188
238,0.0,308.1,1552,190
239,0.0,308.1,1393,193
240,0.0,308.2,1611,195
241,0.0,308.1,1339,197
242,0.0,308.1,1777,200
243,1.0,308.2,1348,202
244,0.0,308.2,1442,204
245,0.0,308.2,1395,206
246,0.0,308.1,1627,209
247,0.0,308.1,1585,212
248,0.0,308.2,1469,214
249,1.0,308.3,1362,216
250,1.0,308.3,1405,218
251,0.0,308.3,1662,0
252,0.0,308.2,1466,2
253,0.0,308.2,1620,5
254,0.0,308.2,1357,7
255,0.0,308.2,1514,9
256,0.0,308.2,1489,11
257,0.0,308.3,1331,13
258,0.0,308.0,1615,15
259,0.0,308.2,1482,17
260,1.0,308.2,1420,19
261,0.0,308.3,1522,22
262,0.0,308.2,1654,25
263,0.0,308.2,1736,27
264,0.0,308.1,1587,30
265,0.0,308.2,1390,33
266,0.0,308.1,1454,35
267,0.0,308.1,1440,37
268,0.0,308.0,1954,42
269,0.0,308.0,1800,44
270,0.0,308.0,1524,49
271,0.0,308.0,1520,51
272,0.0,308.1,1452,56
273,0.0,308.1,1484,59
274,0.0,308.0,1426,61
275,0.0,308.0,1652,63
276,0.0,308.0,1401,65
277,0.0,307.9,1750,67
278,0.0,308.0,1479,70
279,0.0,308.0,1620,75
280,0.0,308.1,1819,78
281,0.0,308.1,1456,80
282,0.0,308.0,1626,83
283,0.0,308.1,1390,85
284,0.0,308.2,1469,88
285,0.0,308.3,2051,90
286,0.0,308.3,1568,92
287,0.0,308.3,1589,94
288,0.0,308.3,1805,96
289,0.0,308.4,1385,98
290,0.0,308.4,1436,103
291,0.0,308.4,1438,105
292,0.0,308.3,1473,107
293,0.0,308.4,1335,109
294,0.0,308.5,1392,111
295,0.0,308.5,1372,116
296,0.0,308.6,1716,119
297,0.0,308.5,1395,122
298,0.0,308.5,1713,124
299,0.0,308.5,2129,126
300,0.0,308.3,1567,131
301,0.0,308.4,1622,134
302,0.0,308.4,1740,136
303,0.0,308.4,1512,138
304,0.0,308.4,1479,143
305,0.0,308.4,1737,146
306,0.0,308.4,2129,148
307,0.0,308.4,1374,150
308,0.0,308.4,1579,152
309,0.0,308.5,1305,155
310,0.0,308.5,1449,157
311,0.0,308.6,1526,160
312,0.0,308.6,1453,165
313,0.0,308.6,1468,168
314,0.0,308.6,1313,170
315,0.0,308.5,1300,172
316,0.0,308.4,1646,175
317,0.0,308.4,1714,177
318,0.0,308.4,1685,179
319,0.0,308.4,1512,181
320,0.0,308.4,1612,183
321,0.0,308.4,1550,185
322,0.0,308.4,1518,190
323,0.0,308.5,1448,192
324,0.0,308.5,1561,194
325,0.0,308.5,1488,196
326,0.0,308.5,1699,199
327,0.0,308.5,1501,201
328,1.0,308.5,1373,203
329,0.0,308.4,1703,205
330,0.0,308.5,1720,210
331,0.0,308.4,1398,215
332,0.0,308.4,1391,218
333,0.0,308.3,1538,0
334,0.0,308.2,1647,3
335,0.0,308.1,1469,5
336,0.0,308.1,1749,8
337,0.0,308.2,1995,10
338,0.0,308.3,1742,13
339,0.0,308.2,1563,15
340,0.0,308.2,1713,17
341,0.0,308.1,1474,20
342,0.0,308.2,1530,22
343,0.0,308.2,1471,25
344,0.0,308.3,1388,27
345,0.0,308.2,2448,29
346,0.0,308.3,1585,32
347,0.0,308.3,1459,34
348,0.0,308.3,1544,37
349,0.0,308.3,1617,39
350,0.0,308.3,1595,41
351,0.0,308.3,1400,43
352,0.0,308.4,1611,48
353,0.0,308.4,1507,51
354,0.0,308.3,1674,54
355,0.0,308.3,1658,59
356,0.0,308.3,1623,61
357,0.0,308.4,1398,63
358,0.0,308.4,1517,66
359,0.0,308.3,1467,68
360,0.0,308.3,1567,71
361,0.0,308.3,1521,74
362,0.0,308.3,1596,77
363,0.0,308.3,1640,79
364,0.0,308.3,1438,84
365,0.0,308.4,1407,86
366,0.0,308.4,1353,88
367,0.0,308.5,1552,90
368,0.0,308.4,1569,93
369,0.0,308.4,1489,96
370,0.0,308.4,1587,98
371,0.0,308.3,1622,103
372,0.0,308.4,1604,106
373,0.0,308.3,1405,108
374,0.0,308.3,1412,111
375,0.0,308.3,1431,113
376,0.0,308.2,1533,115
377,0.0,308.2,1401,117
378,0.0,308.2,1424,120
379,0.0,308.2,1754,123
380,0.0,308.2,1754,125
381,1.0,308.3,2564,127
382,0.0,308.5,1546,129
383,0.0,308.5,1335,131
384,0.0,308.6,1842,133
385,0.0,308.5,1712,136
386,0.0,308.6,1414,138
387,0.0,308.7,1319,141
388,0.0,308.7,1249,143
389,0.0,308.7,1455,145
390,0.0,308.7,1408,147
391,0.0,308.7,1460,150
392,0.0,308.6,1491,152
393,0.0,308.5,1490,154
394,0.0,308.4,1350,157
395,0.0,308.4,1528,160
396,0.0,308.3,1571,162
397,0.0,308.3,1490,164
398,0.0,308.3,1774,166
399,0.0,308.3,1502,169
400,0.0,308.4,1392,174
401,0.0,308.5,2100,176
402,0.0,308.5,1722,178
403,0.0,308.6,1678,180
404,0.0,308.6,1273,182
405,0.0,308.6,1297,184
406,0.0,308.5,1350,186
407,0.0,308.6,1439,188
408,0.0,308.5,1600,190
409,0.0,308.6,1434,193
410,0.0,308.6,1459,196
411,0.0,308.6,1472,198
412,0.0,308.7,1429,201
413,0.0,308.6,1388,203
414,0.0,308.4,1573,205
415,0.0,308.4,1588,207
416,0.0,308.4,1511,209
417,0.0,308.5,1495,211
418,0.0,308.4,1394,213
419,0.0,308.4,2151,0
420,0.0,308.3,1501,2
421,0.0,308.3,1301,5
422,0.0,308.3,1657,8
423,0.0,308.3,1333,11
424,0.0,308.3,1484,13
425,0.0,308.4,1430,15
426,0.0,308.4,1665,17
427,0.0,308.5,1501,20
428,0.0,308.5,1496,22
429,0.0,308.6,1595,25
430,0.0,308.6,1208,28
431,0.0,308.6,1596,30
432,0.0,308.5,1446,32
433,0.0,308.5,1466,34
434,0.0,308.5,1848,37
435,0.0,308.5,1484,40
436,0.0,308.3,1493,43
437,0.0,308.3,1504,45
438,0.0,308.3,1538,47
439,0.0,308.4,1341,49
440,0.0,308.3,1535,51
441,0.0,308.5,1389,54
442,0.0,308.5,1393,56
443,1.0,308.5,1399,61
444,0.0,308.5,1469,63
445,0.0,308.4,1582,68
446,0.0,308.6,1793,70
447,0.0,308.6,1452,72
448,0.0,308.7,1376,74
449,0.0,308.6,1552,77
450,0.0,308.7,1622,79
451,0.0,308.7,1419,81
452,0.0,308.6,1440,84
453,0.0,308.6,1643,89
454,0.0,308.7,1510,92
455,0.0,308.7,1468,94
456,0.0,308.7,1429,96
457,0.0,308.7,1478,98
458,0.0,308.6,1276,103
459,0.0,308.6,1486,105
460,0.0,308.6,1476,107
461,0.0,308.6,1431,109
462,0.0,308.7,1402,114
463,0.0,308.7,1433,116
464,1.0,308.7,2874,118
465,0.0,308.6,1511,120
466,0.0,308.6,1456,122
467,0.0,308.5,1550,125
468,0.0,308.5,2182,127
469,0.0,308.7,1619,129
470,0.0,308.8,1586,131
471,0.0,308.8,1499,134
472,0.0,308.8,1419,139
473,0.0,309.0,1497,144
474,0.0,309.0,1520,147
475,0.0,309.1,1478,150
476,0.0,309.1,1380,152
477,0.0,309.0,1570,154
478,0.0,309.0,1468,156
479,0.0,309.0,1833,161
480,0.0,308.9,1323,163
481,0.0,309.0,1583,166
482,0.0,309.0,1556,168
483,0.0,309.0,1548,171
484,0.0,309.0,1324,173
485,0.0,309.0,1568,175
486,0.0,309.0,1685,177
487,0.0,309.1,1582,180
488,0.0,309.1,1463,183
489,0.0,309.2,1584,186
490,0.0,309.2,1347,188
491,0.0,309.2,1459,191
492,0.0,309.2,1420,193
493,0.0,309.3,1404,195
494,0.0,309.3,1470,197
495,0.0,309.4,1326,199
496,0.0,309.3,1459,201
497,0.0,309.2,1530,206
498,0.0,309.0,1505,209
499,0.0,309.1,1611,211
500,0.0,309.1,1515,213
501,0.0,309.2,1804,215
502,0.0,309.3,1464,218
503,0.0,309.2,1390,221
504,0.0,309.2,1442,0
505,0.0,309.3,1529,3
506,0.0,309.3,1610,6
507,0.0,309.3,1543,8
508,0.0,309.4,1445,10
509,0.0,309.3,1893,15
510,0.0,309.3,1415,17
511,0.0,309.3,1564,20
512,0.0,309.3,1479,22
513,0.0,309.2,1426,24
514,0.0,309.2,1428,26
515,0.0,309.2,1620,28
516,0.0,309.2,1715,30
517,0.0,309.3,1732,32
518,0.0,309.4,1391,34
519,0.0,309.5,1924,37
520,0.0,309.5,2027,39
521,0.0,309.5,1617,42
522,0.0,309.4,1497,44
523,0.0,309.5,1448,46
524,0.0,309.4,1401,49
525,0.0,309.4,1620,51
526,0.0,309.4,1466,53
527,0.0,309.5,1373,55
528,0.0,309.6,1592,57
529,0.0,309.5,1553,60
530,0.0,309.5,1569,63
531,0.0,309.5,1709,65
532,0.0,309.5,1549,68
533,0.0,309.4,1443,70
534,0.0,309.3,1675,72
535,0.0,309.3,1623,74
536,0.0,309.3,1365,76
537,0.0,309.3,1759,81
538,0.0,309.3,1516,83
539,0.0,309.3,1499,88
540,0.0,309.3,1775,91
541,0.0,309.4,1473,94
542,0.0,309.4,1296,96
543,0.0,309.4,1803,98
544,0.0,309.3,1563,100
545,0.0,309.4,1831,105
546,0.0,309.4,1958,108
547,0.0,309.4,1809,110
548,0.0,309.4,1482,112
549,0.0,309.3,1332,115
550,0.0,309.2,1437,117
551,0.0,309.2,1698,119
552,0.0,309.2,1274,121
553,0.0,309.3,1622,123
554,0.0,309.3,1564,126
555,0.0,309.4,1368,129
556,0.0,309.4,1539,134
557,0.0,309.4,1357,137
558,0.0,309.4,1433,139
559,0.0,309.4,1650,142
560,0.0,309.4,1503,144
561,0.0,309.4,1318,146
562,0.0,309.4,1678,148
563,0.0,309.5,1574,151
564,0.0,309.6,1529,153
565,0.0,309.6,1669,155
566,0.0,309.7,1570,160
567,0.0,309.7,1541,165
568,0.0,309.7,1680,168
569,0.0,309.7,1935,171
570,0.0,309.6,1596,173
571,0.0,309.7,1498,176
572,0.0,309.8,1676,178
573,0.0,309.9,1351,181
574,0.0,309.9,1472,183
575,0.0,310.0,1439,185
576,0.0,309.9,1410,188
577,0.0,309.7,1440,191
578,0.0,309.7,1591,196
579,0.0,309.8,1533,198
580,0.0,309.7,1700,200
581,0.0,309.8,1798,203
582,0.0,309.7,1394,206
583,0.0,309.7,1341,208
584,0.0,309.6,1697,210
585,0.0,309.6,1419,215
586,0.0,309.5,2001,220
587,1.0,309.6,1501,222
588,0.0,309.5,1623,224
589,0.0,309.4,1628,229
590,0.0,309.4,1491,231
591,0.0,309.4,1517,233
592,0.0,309.3,1525,235
593,0.0,309.5,1668,240
594,0.0,309.6,1312,0
595,0.0,309.6,1278,2
596,0.0,309.6,1330,7
597,0.0,309.6,1530,10
598,0.0,309.6,1428,13
599,0.0,309.6,1480,18
600,0.0,309.7,1616,20
601,0.0,309.7,1547,25
602,0.0,309.7,2194,27
603,0.0,309.8,2000,29
604,1.0,309.8,1336,31
605,0.0,309.9,1542,33
606,0.0,309.8,1693,35
607,0.0,309.8,1461,38
608,0.0,309.9,1565,40
609,0.0,309.9,1403,43
610,0.0,309.9,1629,45
611,0.0,310.0,1534,47
612,0.0,310.0,1553,49
613,0.0,309.9,1563,51
614,0.0,309.9,1634,53
615,0.0,309.9,1445,55
616,0.0,309.9,1642,58
617,0.0,309.9,1686,60
618,0.0,310.0,1393,65
619,0.0,310.0,1433,68
620,0.0,310.0,1507,73
621,0.0,310.1,1389,75
622,0.0,310.1,1408,78
623,0.0,310.2,1725,80
624,0.0,310.1,1926,83
625,0.0,310.1,1509,85
626,0.0,310.1,1545,90
627,0.0,310.1,1533,92
628,0.0,310.1,1455,94
629,0.0,310.1,1335,96
630,0.0,310.1,1523,99
631,0.0,310.0,1460,101
632,0.0,310.0,1554,103
633,0.0,310.0,1419,105
634,0.0,310.0,1442,110
635,0.0,309.9,1507,112
636,0.0,310.0,1858,114
637,0.0,309.9,1463,116
638,0.0,309.7,1585,118
639,0.0,309.6,1536,120
640,0.0,309.6,1403,122
641,0.0,309.6,1515,124
642,0.0,309.5,1390,127
643,0.0,309.4,1226,129
644,0.0,309.4,1495,132
645,0.0,309.4,1608,135
646,0.0,309.4,1392,140
647,0.0,309.4,1461,142
648,0.0,309.3,1559,145
649,0.0,309.3,1400,147
650,0.0,309.2,1732,152
651,0.0,309.2,1611,155
652,0.0,309.1,1503,157
653,0.0,309.2,1391,159
654,0.0,309.3,2015,161
655,0.0,309.2,1683,163
656,0.0,309.1,1435,165
657,0.0,309.1,1732,167
658,0.0,309.2,1365,170
659,0.0,309.1,1562,172
660,0.0,309.1,1449,174
661,0.0,309.2,1700,176
662,0.0,309.0,1427,179
663,0.0,308.9,1479,182
664,0.0,308.9,1469,185
665,0.0,308.9,1390,187
666,0.0,308.9,1729,189
667,0.0,309.0,1470,191
668,0.0,308.9,1459,193
669,0.0,308.9,1738,195
670,0.0,308.9,1471,197
671,0.0,309.0,1822,202
672,0.0,308.9,1554,204
673,0.0,308.9,1433,206
674,0.0,308.9,1449,209
675,0.0,309.0,1456,0
676,0.0,309.1,1424,2
677,0.0,309.2,1577,5
678,0.0,309.2,1478,10
679,0.0,309.2,1295,12
680,0.0,309.2,1372,15
681,0.0,309.1,1432,17
682,0.0,309.0,1656,20
683,0.0,309.0,1410,23
684,0.0,309.0,1874,28
685,0.0,309.0,1538,30
686,0.0,309.0,1636,32
687,0.0,309.0,1504,35
688,0.0,309.0,1531,38
689,0.0,309.0,1735,41
690,0.0,309.0,1354,46
691,0.0,309.0,1413,51
692,0.0,309.1,1563,56
693,0.0,309.1,1479,58
694,0.0,309.1,1477,60
695,0.0,309.1,1394,62
696,0.0,309.0,1487,64
697,0.0,309.0,1815,66
698,0.0,308.8,1453,69
699,0.0,308.8,1539,72
700,0.0,308.7,1416,74
701,0.0,308.8,1683,79
702,0.0,308.8,1515,82
703,0.0,308.9,1531,84
704,0.0,308.9,1479,87
705,0.0,308.9,1516,92
706,0.0,309.0,1507,94
707,0.0,309.0,1434,96
708,0.0,308.9,1838,99
709,0.0,308.8,1416,101
710,0.0,308.8,1357,104
711,0.0,308.7,1697,107
712,0.0,308.7,1443,110
713,0.0,308.7,1453,112
714,0.0,308.6,1439,114
715,0.0,308.6,1609,116
716,0.0,308.6,1324,118
717,0.0,308.6,1420,120
718,0.0,308.7,1545,125
719,0.0,308.8,1477,127
720,0.0,308.8,1447,129
721,0.0,308.9,1809,131
722,0.0,308.9,1696,133
723,0.0,308.9,1427,135
724,0.0,308.9,1500,137
725,0.0,308.9,1390,140
726,0.0,308.8,1640,142
727,0.0,308.8,1628,144
728,0.0,308.6,1499,147
729,0.0,308.7,1425,152
730,0.0,308.6,1586,155
731,0.0,308.6,1471,157
732,0.0,308.6,1431,160
733,0.0,308.6,1924,163
734,0.0,308.4,1421,165
735,0.0,308.4,1305,168
736,0.0,308.4,1557,173
737,0.0,308.3,1555,175
738,0.0,308.3,1474,177
739,0.0,308.3,1506,182
740,0.0,308.4,1390,184
741,0.0,308.4,1450,186
742,0.0,308.3,1513,189
743,0.0,308.2,1643,191
744,0.0,308.2,1361,193
745,0.0,308.1,1450,195
746,0.0,308.0,1451,197
747,1.0,308.1,1289,199
748,0.0,308.1,1356,201
749,0.0,308.1,1528,203
750,0.0,308.0,1978,208
751,0.0,308.0,1535,210
752,0.0,308.1,1843,212
753,0.0,308.1,1422,215
754,0.0,308.0,1536,217
755,0.0,308.1,1483,219
756,0.0,308.1,1492,222
757,0.0,308.0,1584,227
758,0.0,308.1,1555,229
759,0.0,308.0,1497,231
760,0.0,307.8,1537,233
761,0.0,307.8,1505,236
762,0.0,307.8,1646,238
763,0.0,307.8,1286,0
764,0.0,307.8,1400,3
765,0.0,307.9,1337,5
766,0.0,308.0,1332,7
767,0.0,308.0,1561,9
768,0.0,308.0,1546,11
769,0.0,308.0,1713,13
770,0.0,308.0,1343,15
771,0.0,308.0,1391,17
772,0.0,308.0,1311,19
773,0.0,308.0,1453,24
774,0.0,308.0,1510,29
775,0.0,307.9,1448,31
776,0.0,307.8,1453,33
777,0.0,307.8,1468,35
778,0.0,307.8,1382,37
779,0.0,308.0,1580,39
780,0.0,308.0,1666,41
781,0.0,308.0,1409,43
782,0.0,308.0,1675,46
783,0.0,307.9,1698,48
784,0.0,307.9,1579,50
785,0.0,307.9,1743,55
786,0.0,308.0,1497,57
787,0.0,308.1,1741,60
788,0.0,308.1,1435,62
789,0.0,308.1,1440,64
790,0.0,308.0,1641,67
791,0.0,307.9,1420,70
792,0.0,307.9,1611,72
793,0.0,307.8,1373,74
794,0.0,307.9,1683,76
795,0.0,307.9,1547,79
796,0.0,307.8,1605,84
797,0.0,307.9,2010,86
798,0.0,307.7,1565,89
799,0.0,307.8,1828,91
800,0.0,307.8,1579,94
801,0.0,307.9,1882,97
802,0.0,307.8,1285,100
803,0.0,307.8,1571,102
804,0.0,307.8,1549,104
805,0.0,307.8,1544,109
806,0.0,307.9,1412,112
807,0.0,307.9,1422,115
808,0.0,307.7,1867,118
809,0.0,307.7,1424,120
810,0.0,307.6,1452,122
811,0.0,307.7,1550,124
812,0.0,307.6,1588,126
813,0.0,307.6,1338,128
814,0.0,307.6,1513,130
815,0.0,307.5,1470,132
816,0.0,307.5,1516,135
817,0.0,307.6,1434,138
818,0.0,307.6,1368,140
819,0.0,307.6,1304,142
820,0.0,307.6,1398,144
821,0.0,307.6,1516,146
822,0.0,307.6,1474,148
823,0.0,307.6,1547,150
824,0.0,307.5,1482,153
825,0.0,307.4,1436,156
826,0.0,307.3,1474,158
827,0.0,307.2,1481,160
828,0.0,307.3,1501,162
829,0.0,307.3,1566,164
830,0.0,307.3,1579,166
831,0.0,307.4,1631,168
832,0.0,307.4,1544,170
833,0.0,307.4,1521,173
834,0.0,307.4,1616,175
835,0.0,307.4,1333,177
836,0.0,307.4,1533,182
837,0.0,307.4,1368,185
838,0.0,307.4,1465,187
839,0.0,307.4,1406,189
840,0.0,307.4,1565,194
841,0.0,307.5,1582,197
842,0.0,307.5,1439,199
843,0.0,307.5,1566,201
844,0.0,307.5,1485,204
845,0.0,307.5,1566,206
846,0.0,307.3,1439,208
847,0.0,307.4,1416,210
848,1.0,307.4,2833,213
849,0.0,307.4,1465,215
850,0.0,307.4,1586,0
851,0.0,307.3,1567,5
852,0.0,307.2,1389,7
853,0.0,307.3,1368,10
854,0.0,307.3,1444,13
855,0.0,307.3,1498,15
856,0.0,307.2,1615,18
857,0.0,307.1,1898,20
858,0.0,307.1,1350,22
859,0.0,307.0,1516,25
860,0.0,307.0,1542,28
861,0.0,306.9,1541,33
862,0.0,306.9,1951,38
863,0.0,306.8,1645,41
864,0.0,306.7,1416,46
865,0.0,306.7,2044,48
866,0.0,306.6,1414,51
867,0.0,306.6,1678,53
868,0.0,306.5,1594,55
869,0.0,306.5,1514,60
870,0.0,306.5,1358,63
871,0.0,306.4,1325,65
872,0.0,306.4,1339,67
873,0.0,306.4,1335,69
874,0.0,306.4,1892,72
875,0.0,306.4,1575,74
876,0.0,306.3,1444,76
877,0.0,306.3,1915,79
878,0.0,306.2,1584,81
879,0.0,306.3,1685,84
880,0.0,306.3,1337,87
881,1.0,306.3,1235,89
882,0.0,306.2,1464,92
883,0.0,306.2,1739,94
884,0.0,306.3,1490,97
885,0.0,306.4,1356,99
886,0.0,306.2,1397,101
887,0.0,306.2,1458,103
888,0.0,306.2,2161,105
889,0.0,306.1,1651,110
890,0.0,306.1,1389,113
891,0.0,306.0,1370,115
892,0.0,306.1,1408,117
893,0.0,306.1,1343,119
894,0.0,306.2,1423,121
895,0.0,306.2,1426,124
896,0.0,306.2,1435,126
897,0.0,306.1,1573,129
898,0.0,306.2,1612,131
899,0.0,306.2,1446,133
900,0.0,306.2,1329,135
901,0.0,306.2,1569,140
902,0.0,306.1,1256,142
903,0.0,306.1,1383,147
904,1.0,306.2,2270,149
905,0.0,306.2,1458,151
906,0.0,306.1,1474,156
907,0.0,306.1,1462,158
908,0.0,306.1,1669,161
909,0.0,306.1,1822,164
910,0.0,306.0,1456,167
911,0.0,306.0,1546,169
912,0.0,306.1,1490,171
913,0.0,306.0,1569,174
914,0.0,306.0,1621,176
915,0.0,305.9,1518,178
916,0.0,305.8,1526,181
917,0.0,305.8,1589,184
918,0.0,305.7,1475,187
919,0.0,305.7,1473,189
920,0.0,305.8,1407,192
921,0.0,305.9,1518,194
922,0.0,305.9,1593,197
923,0.0,305.9,1380,202
924,0.0,306.0,1423,205
925,0.0,306.0,1800,208
926,0.0,306.1,1623,210
927,1.0,306.1,1372,215
928,0.0,306.0,1396,0
